"Season","Episode","Rating"
"1","Episode 1",8.9
"1","Episode 2",8.6
"1","Episode 3",8.5
"1","Episode 4",8.6
"1","Episode 5",9
"1","Episode 6",9.1
"1","Episode 7",9.1
"1","Episode 8",8.9
"1","Episode 9",9.6
"1","Episode 10",9.4
"2","Episode 1",8.6
"2","Episode 2",8.3
"2","Episode 3",8.7
"2","Episode 4",8.6
"2","Episode 5",8.6
"2","Episode 6",8.9
"2","Episode 7",8.8
"2","Episode 8",8.6
"2","Episode 9",9.7
"2","Episode 10",9.3
"3","Episode 1",8.6
"3","Episode 2",8.4
"3","Episode 3",8.7
"3","Episode 4",9.5
"3","Episode 5",8.9
"3","Episode 6",8.7
"3","Episode 7",8.6
"3","Episode 8",8.9
"3","Episode 9",9.9
"3","Episode 10",9.1
"4","Episode 1",9
"4","Episode 2",9.7
"4","Episode 3",8.7
"4","Episode 4",8.7
"4","Episode 5",8.6
"4","Episode 6",9.7
"4","Episode 7",9
"4","Episode 8",9.7
"4","Episode 9",9.6
"4","Episode 10",9.7
"5","Episode 1",8.3
"5","Episode 2",8.3
"5","Episode 3",8.3
"5","Episode 4",8.5
"5","Episode 5",8.5
"5","Episode 6",7.9
"5","Episode 7",8.8
"5","Episode 8",9.8
"5","Episode 9",9.4
"5","Episode 10",9.1
"6","Episode 1",8.4
"6","Episode 2",9.2
"6","Episode 3",8.6
"6","Episode 4",9
"6","Episode 5",9.7
"6","Episode 6",8.3
"6","Episode 7",8.5
"6","Episode 8",8.3
"6","Episode 9",9.9
"6","Episode 10",9.9
"7","Episode 1",8.5
"7","Episode 2",8.8
"7","Episode 3",9.1
"7","Episode 4",9.7
"7","Episode 5",8.7
"7","Episode 6",9
"7","Episode 7",9.4
"7","Episode 8",NA
"7","Episode 9",NA
"7","Episode 10",NA
"8","Episode 1",7.6
"8","Episode 2",7.9
"8","Episode 3",7.5
"8","Episode 4",5.5
"8","Episode 5",5.9
"8","Episode 6",4
"8","Episode 7",NA
"8","Episode 8",NA
"8","Episode 9",NA
"8","Episode 10",NA
